,a,alpha,mu,sigma,spread,t_c
179,-0.016823640622842133,0.6903983418241152,2.1926567967467636,0.03963101596003222,"('QS5', 'CO4')",0.002482
180,-0.017068683438336046,0.536390502986854,1.1096342438685274,0.035730034820811184,"('HO1', 'CO5')",0.002482
181,-0.01707366752066703,0.5465646927558738,1.109299353990344,0.0360837480501278,"('HO2', 'CO5')",0.002482
182,-0.01708619788285081,0.5607259249251093,1.1082377112749722,0.03659009811157525,"('HO3', 'CO5')",0.002482
183,-0.017105591338050563,0.5762235704385638,1.1067349909728725,0.03715804500484498,"('HO4', 'CO5')",0.002482
184,-0.01713021091199861,0.594123999720579,1.105129330691308,0.03781559313087333,"('HO5', 'CO5')",0.002482
185,-0.018063604529349814,0.4944002856213142,1.0681432999252662,0.03747123147168382,"('XB1', 'CO5')",0.002482
186,-0.01777422280738613,0.5575480602476549,1.060487594526333,0.038803643285405455,"('XB2', 'CO5')",0.002482
187,-0.017786965972669117,0.5422660586671321,1.0532925156322341,0.038310925213052384,"('XB3', 'CO5')",0.002482
188,-0.017585528713405216,0.4438891302695778,1.0502884712156777,0.03405203543506505,"('XB4', 'CO5')",0.002482
189,-0.017714112915898382,0.38171304137204964,1.0488368610345793,0.03193793406147063,"('XB5', 'CO5')",0.002482
190,-0.016747318279200347,0.6631213202218054,2.205755323942941,0.03856529086959043,"('QS1', 'CO5')",0.002482
191,-0.016750082536287087,0.6685536818379478,2.2041785744312516,0.0387329212393423,"('QS2', 'CO5')",0.002482
192,-0.01675249250858312,0.6769626498253274,2.201717139946525,0.0389845108442918,"('QS3', 'CO5')",0.002482
193,-0.01677156020093798,0.6843675182353421,2.1982830642877476,0.03926687525528786,"('QS4', 'CO5')",0.002482
194,-0.016788937235284372,0.6880198635720814,2.1951864534525143,0.03943526823053312,"('QS5', 'CO5')",0.002482
195,-0.02383392615585949,0.11898953158332794,0.00017509022682336272,0.02824603306566628,"('HO1', 'HO2')",0.002482
196,-0.023856249110680818,0.052037829685518525,0.0009654779310166853,0.018706379716139445,"('HO1', 'HO3')",0.002482
197,-0.023867218625375507,0.035826468054427456,0.002186190562093506,0.015532454635342143,"('HO1', 'HO4')",0.002482
198,-0.023915381317913164,0.026946145625449676,0.0033475637335596735,0.01351252960461878,"('HO1', 'HO5')",0.002482
199,-0.023647973656097117,0.04704355900858614,0.045787343052236106,0.01754712329144069,"('HO1', 'XB1')",0.002482
200,-0.024161018870171108,0.02582286668709814,0.06273348161646077,0.013437970353406407,"('HO1', 'XB2')",0.002482
201,-0.024356258366228074,0.019308708917418874,0.07727722818441139,0.01176511814379727,"('HO1', 'XB3')",0.002482
202,-0.024651859514477893,0.014197822227299825,0.09145496449877076,0.010277905101314624,"('HO1', 'XB4')",0.002482
203,-0.024348440156016598,0.01591308332818709,0.09086960728752365,0.010675346098716884,"('HO1', 'XB5')",0.002482
204,-0.017001566430103535,0.6612209028598203,1.0973654939945172,0.03942707882061814,"('QS1', 'HO1')",0.002482
205,-0.017029313818044366,0.6666035325489849,1.0958308691361336,0.039688156495014955,"('QS2', 'HO1')",0.002482
206,-0.017103177751057963,0.6633923455949996,1.0935250142964204,0.03986088218629919,"('QS3', 'HO1')",0.002482
207,-0.017199365511331405,0.6598429424342743,1.0902303206352293,0.040103626388127596,"('QS4', 'HO1')",0.002482
208,-0.017262282458565797,0.6580087265350332,1.087202311608981,0.04027670321121594,"('QS5', 'HO1')",0.002482
209,-0.02383860587696392,0.03409434030196038,0.0008290581200758478,0.015124316401954184,"('HO2', 'HO3')",0.002482
210,-0.023839680797841666,0.028136560319090557,0.0020970050324238257,0.01374043046648701,"('HO2', 'HO4')",0.002482
211,-0.02389668847212329,0.022000020677111102,0.0032710041258717485,0.012194840559998584,"('HO2', 'HO5')",0.002482
212,-0.023653022961644937,0.0471704069514105,0.04567831756744577,0.01757655311894447,"('HO2', 'XB1')",0.002482
213,-0.024240394192967852,0.02534062448404088,0.0630221848731207,0.013379384082340828,"('HO2', 'XB2')",0.002482
214,-0.024454116689085346,0.0189651682223239,0.07776457508575413,0.01173226934130705,"('HO2', 'XB3')",0.002482
215,-0.02485583459684399,0.012878894704502571,0.094953327172897,0.009913945536161843,"('HO2', 'XB4')",0.002482
216,-0.024482282518208987,0.015111889791167685,0.09256171834682908,0.010491402899585186,"('HO2', 'XB5')",0.002482
217,-0.016961238624646168,0.6569274698901038,1.0976172251220235,0.039153399143304554,"('QS1', 'HO2')",0.002482
218,-0.016984688137313082,0.6634855234322402,1.0960725745729463,0.03943333093794594,"('QS2', 'HO2')",0.002482
219,-0.017050870348119966,0.662612362161071,1.0937477893043208,0.03964739760091691,"('QS3', 'HO2')",0.002482
220,-0.01714181887378899,0.6608199697598811,1.090438795036172,0.039923919789278464,"('QS4', 'HO2')",0.002482
221,-0.01720254344572177,0.6597633349333075,1.0874044005136507,0.040112773137207895,"('QS5', 'HO2')",0.002482
222,-0.02382852869076266,0.025758200568014658,0.001279198686162235,0.013137390558141143,"('HO3', 'HO4')",0.002482
223,-0.02392064328974493,0.01897560700645356,0.0024384628641710595,0.011343144826500628,"('HO3', 'HO5')",0.002482
224,-0.023670296207729268,0.05280809502256764,0.044366723642035526,0.018618225890391298,"('HO3', 'XB1')",0.002482
225,-0.024302977501791362,0.02760775338106702,0.06097659230319425,0.01402068392205998,"('HO3', 'XB2')",0.002482
226,-0.024565373104135757,0.018641139371363868,0.07739074359226768,0.011713267252872757,"('HO3', 'XB3')",0.002482
